year,region,crop_type,rainfall_mm,temperature_celsius,fertilizer_kg_per_ha,pesticide_kg_per_ha,farm_size_ha,soil_type,elevation_m,irrigation,yield_kg_per_ha
2008,Nyanza,Sorghum,893.8,24.7,57.4,2.99,0.62,loam,1540,0,1419.7
2015,Central,Maize,1203.2,17.3,29.7,1.11,0.4,volcanic,2261,1,1543.3
2004,Central,Sorghum,1287.9,19.5,39.5,0.37,2.43,volcanic,1895,1,665.1
2021,Central,Wheat,1109.3,21.6,25.9,3.61,2.0,volcanic,2043,1,3214.6
2010,Nyanza,Maize,1681.7,19.9,10.1,2.77,0.96,clay,1469,0,1014.3
2020,Western,Coffee,1477.9,23.3,40.5,0.39,0.68,clay,1404,1,650.7
2006,Western,Beans,1616.5,25.3,34.6,4.48,1.53,clay,1813,0,422.0
2004,Rift Valley,Coffee,814.4,23.0,31.2,1.29,0.79,volcanic,1852,1,1264.1
2014,North Eastern,Beans,338.6,30.9,6.9,1.06,1.24,clay,370,0,123.3
2008,Central,Wheat,1233.2,19.0,57.8,3.03,2.05,loam,2104,1,3811.2
2020,Coast,Maize,1374.1,27.9,59.0,1.95,0.41,sandy,95,0,454.6
2008,North Eastern,Coffee,270.3,31.3,22.3,1.84,2.24,sandy,242,0,100.0
2014,Coast,Tea,630.3,29.9,73.8,5.0,3.18,loam,8,1,1449.8
2022,Coast,Coffee,1292.9,25.7,18.0,3.53,1.27,loam,364,0,318.1
2012,Rift Valley,Beans,1334.0,16.2,3.0,3.68,0.84,loam,2501,1,759.2
2011,North Eastern,Tea,269.7,28.0,0.0,4.9,2.21,sandy,548,1,229.8
2022,Western,Coffee,2095.9,23.5,48.3,1.02,2.01,clay,1901,1,576.0
2020,Western,Maize,1580.9,25.0,27.8,2.14,0.41,loam,1228,0,1394.7
2015,Rift Valley,Sorghum,675.5,17.2,60.4,2.91,1.99,volcanic,2092,1,1058.0
2000,Coast,Wheat,568.4,27.5,0.0,2.79,1.74,sandy,288,0,324.8
2003,Rift Valley,Sorghum,578.0,19.7,24.5,2.13,1.68,loam,2116,1,888.3
2008,Nyanza,Coffee,1277.2,25.0,17.5,4.19,1.5,clay,1796,0,506.1
2006,Rift Valley,Maize,969.3,18.3,49.9,4.72,2.21,volcanic,2360,1,3056.7
2010,Coast,Maize,813.4,31.1,66.0,3.42,4.86,loam,432,0,1003.3
2009,Rift Valley,Sorghum,561.4,18.8,20.2,0.84,1.53,volcanic,1651,1,1069.1
2017,North Eastern,Beans,258.0,23.4,0.0,2.55,2.07,sandy,232,0,158.8
2020,Western,Wheat,1765.6,20.4,19.2,3.73,1.78,loam,1216,0,1116.3
2006,North Eastern,Wheat,187.0,34.7,32.0,2.69,1.29,clay,229,0,255.7
2003,Coast,Wheat,575.3,30.0,34.6,0.42,3.48,sandy,556,0,325.9
2011,Coast,Coffee,1520.5,26.3,28.9,2.81,0.58,sandy,45,0,181.8
2009,North Eastern,Beans,354.2,30.6,0.0,2.53,3.19,sandy,193,0,100.0
2021,Central,Tea,1404.5,21.9,67.7,3.35,2.05,volcanic,2519,1,13514.1
2008,North Eastern,Wheat,338.6,33.8,56.0,5.59,2.0,sandy,398,0,234.0
2003,Central,Wheat,1252.2,18.6,54.2,3.26,0.85,volcanic,2532,1,4152.6
2001,Eastern,Tea,436.9,25.1,62.5,0.0,1.8,clay,601,0,1483.7
2010,Western,Tea,1349.7,20.2,20.9,3.28,0.95,clay,1887,1,6945.6
2007,Coast,Maize,650.2,28.2,45.0,0.89,2.18,loam,47,0,838.2
2012,Central,Maize,1328.7,21.2,84.1,2.62,0.1,loam,2144,1,2501.5
2014,Coast,Tea,879.3,22.0,23.4,1.76,3.56,sandy,87,0,962.6
2013,Rift Valley,Coffee,1048.0,22.4,46.8,5.38,0.46,volcanic,2007,1,1279.0
2014,Western,Sorghum,1921.2,21.1,40.4,0.0,0.54,loam,1373,0,229.5
2022,Coast,Tea,1430.7,24.3,0.0,2.63,0.99,sandy,574,0,717.5
2008,Western,Maize,1512.6,23.8,44.3,3.86,1.08,clay,1877,0,1600.7
2014,Rift Valley,Sorghum,585.4,16.9,59.9,2.88,1.23,volcanic,2330,1,960.7
2003,Central,Beans,1277.3,18.7,26.4,0.0,1.95,loam,2838,1,805.5
2007,Rift Valley,Sorghum,963.0,19.4,62.5,3.52,1.54,loam,1611,1,1131.5
2009,Nyanza,Wheat,1658.1,24.6,16.9,3.59,3.93,loam,1637,0,1179.8
2015,Nyanza,Coffee,1269.7,22.4,44.4,1.78,3.25,loam,1558,0,696.5
2016,North Eastern,Wheat,153.9,31.2,47.3,4.24,1.53,clay,176,0,256.2
2016,Rift Valley,Wheat,959.2,17.8,69.0,0.82,1.62,volcanic,2362,1,4532.0
2003,Eastern,Sorghum,576.3,33.0,47.3,2.03,2.57,sandy,1234,0,545.5
2012,Nyanza,Coffee,1862.2,21.9,31.3,3.72,0.43,loam,1106,0,679.9
2022,Western,Coffee,1452.5,23.4,40.5,0.19,1.51,clay,1633,0,609.6
2012,Coast,Coffee,1118.3,27.2,45.8,5.61,2.48,loam,409,0,362.2
2003,Eastern,Tea,426.2,23.0,48.3,1.65,0.76,sandy,1050,0,1283.9
2015,Coast,Maize,1325.8,28.9,39.5,3.73,3.57,loam,286,1,1098.6
2000,Nyanza,Beans,1403.7,20.6,34.7,4.56,3.13,loam,1213,0,848.3
2017,Nyanza,Wheat,977.8,20.4,66.3,3.57,0.66,clay,1781,0,1833.0
2019,Rift Valley,Sorghum,1128.2,19.6,51.7,0.0,1.75,volcanic,1561,1,799.9
2015,Western,Coffee,1591.4,23.8,86.9,0.4,1.26,loam,1769,0,630.1
2011,Central,Coffee,1315.4,16.3,78.8,3.61,3.23,volcanic,1551,1,1476.4
2002,North Eastern,Sorghum,110.8,28.7,41.3,2.09,0.6,sandy,586,0,479.4
2009,North Eastern,Maize,305.5,34.0,2.5,2.67,1.21,sandy,540,1,228.3
2020,Central,Wheat,1292.9,19.3,41.3,5.02,7.23,volcanic,1900,1,3926.6
2018,Coast,Beans,859.7,28.7,39.1,3.22,1.42,loam,152,0,297.1
2021,Central,Sorghum,1104.4,16.9,66.8,0.0,1.37,loam,2585,1,556.7
2022,Coast,Coffee,854.0,29.9,54.1,2.47,0.92,sandy,507,0,127.8
2017,North Eastern,Sorghum,274.9,31.0,46.4,3.13,4.18,sandy,466,1,709.2
2003,Rift Valley,Wheat,1004.5,18.8,85.4,3.83,2.02,loam,2219,1,3748.2
2004,Central,Beans,1440.0,16.0,2.5,3.43,0.87,loam,1886,1,664.6
2003,North Eastern,Coffee,316.0,24.4,16.8,2.08,1.09,sandy,584,0,100.0
2012,Western,Tea,1491.6,23.1,28.8,3.5,0.82,clay,1774,0,5723.0
2004,Western,Wheat,1441.8,24.8,48.8,0.0,0.8,loam,1952,0,886.3
2017,North Eastern,Sorghum,365.2,29.2,65.4,3.24,0.57,sandy,461,0,766.5
2015,Western,Wheat,1693.2,22.3,70.9,2.87,1.02,clay,1495,0,1030.4
2006,Western,Coffee,2333.9,19.9,5.8,1.91,0.45,clay,1405,0,440.4
2018,Coast,Beans,811.2,26.6,14.1,2.63,0.63,loam,360,1,392.4
2019,Coast,Wheat,734.2,29.6,19.9,1.95,0.16,loam,293,0,497.8
2022,Nyanza,Coffee,1824.6,26.7,37.1,3.02,0.68,loam,1596,0,547.4
2005,Nyanza,Sorghum,1533.1,24.5,21.5,2.41,0.14,loam,1573,0,498.6
2022,Nyanza,Sorghum,1728.4,25.5,77.4,1.75,0.82,clay,1614,0,347.0
2000,Western,Beans,1696.7,24.2,80.2,4.04,1.61,loam,1394,0,773.9
